epoch,lr,train_total_loss,train_age_mae,train_gender_accuracy,val_total_loss,val_age_mae,val_gender_accuracy
1,0.001,12.95230875,13.19481297,0.554390406,12.68969598,12.90542942,0.521934758
2,0.001,10.19502089,10.47973048,0.598746459,12.62163498,12.95667092,0.615860517
3,0.001,9.345555521,9.64635378,0.613752787,8.421982048,8.730008889,0.629640045
4,0.001,8.494753321,8.801008915,0.626589526,7.576111582,7.879878355,0.634701912
5,0.001,8.060864924,8.365190672,0.629542578,7.620330937,7.943851018,0.64791901
6,0.001,7.676334537,8.002114284,0.648827819,8.296434284,8.610062069,0.652699663
7,0.001,7.493765529,7.818135852,0.647080094,6.724758995,7.044541033,0.658042745
8,0.001,7.311270758,7.645224659,0.657988308,8.162185499,8.428274624,0.643700787
9,0.001,7.038514968,7.377909147,0.669197855,6.856329114,7.198000484,0.691226097
10,0.001,6.870336403,7.262870486,0.710420057,9.715846016,10.2094161,0.756749156
11,0.0005,6.836167027,7.306021409,0.766347255,8.618022382,8.935041296,0.725534308
12,0.0005,6.271137429,6.807919355,0.807870789,5.68639135,6.279661196,0.845894263
13,0.0005,5.978430502,6.548954372,0.82432351,6.083594551,6.645992631,0.831552306
14,0.0005,5.960807608,6.55886605,0.836376785,5.826553313,6.465488143,0.866985377
15,0.0005,5.928553415,6.543381654,0.845838607,6.236254254,6.631071755,0.741563555
16,0.00025,5.795717054,6.422943549,0.853070572,5.828151818,6.465936447,0.864454443
17,0.00025,5.536363661,6.170823451,0.85759055,5.151456404,5.798500582,0.880202475
18,0.00025,5.455417787,6.107411622,0.863978786,5.083659755,5.729655415,0.884701912
19,0.00025,5.431336958,6.082074059,0.866208642,5.378418863,6.017637904,0.874296963
20,0.00025,5.318930078,5.975675132,0.867715302,5.681375296,6.350919629,0.890607424
21,0.00025,5.305131258,5.966533376,0.871271018,5.031508006,5.695207936,0.883295838
22,0.00025,5.301260404,5.968858555,0.870608088,5.020067987,5.658049735,0.877109111
23,0.00025,5.223905267,5.894906453,0.87422407,5.005959247,5.66381038,0.879640045
24,0.00025,5.230801749,5.904769547,0.874947267,5.28817375,5.943146216,0.878233971
25,0.00025,5.159366421,5.836699335,0.878201651,5.111064158,5.761486712,0.887795276
26,0.00025,5.166427413,5.843084807,0.876212861,5.060435003,5.55731465,0.822272216
27,0.00025,5.076185441,5.758059674,0.880732839,4.824893203,5.505797589,0.893138358
28,0.00025,5.01347566,5.693743215,0.881456036,5.395721791,6.081093812,0.896231721
29,0.00025,5.028148252,5.717328676,0.883746158,7.149124597,7.882102705,0.89904387
30,0.00025,5.000333027,5.690828623,0.883143494,5.126325728,5.815016837,0.900168729
