,image_path,filename,age,gender,race,age_bucket
0,C:\Users\henok\data\data\UTKFace\100_0_0_20170112213500903.jpg.chip.jpg,100_0_0_20170112213500903.jpg.chip.jpg,100,0,0,60-100
1,C:\Users\henok\data\data\UTKFace\100_0_0_20170112215240346.jpg.chip.jpg,100_0_0_20170112215240346.jpg.chip.jpg,100,0,0,60-100
2,C:\Users\henok\data\data\UTKFace\100_1_0_20170110183726390.jpg.chip.jpg,100_1_0_20170110183726390.jpg.chip.jpg,100,1,0,60-100
3,C:\Users\henok\data\data\UTKFace\100_1_0_20170112213001988.jpg.chip.jpg,100_1_0_20170112213001988.jpg.chip.jpg,100,1,0,60-100
4,C:\Users\henok\data\data\UTKFace\100_1_0_20170112213303693.jpg.chip.jpg,100_1_0_20170112213303693.jpg.chip.jpg,100,1,0,60-100
5,C:\Users\henok\data\data\UTKFace\100_1_0_20170112215032192.jpg.chip.jpg,100_1_0_20170112215032192.jpg.chip.jpg,100,1,0,60-100
6,C:\Users\henok\data\data\UTKFace\100_1_0_20170117195420803.jpg.chip.jpg,100_1_0_20170117195420803.jpg.chip.jpg,100,1,0,60-100
7,C:\Users\henok\data\data\UTKFace\100_1_0_20170119212053665.jpg.chip.jpg,100_1_0_20170119212053665.jpg.chip.jpg,100,1,0,60-100
8,C:\Users\henok\data\data\UTKFace\100_1_2_20170105174847679.jpg.chip.jpg,100_1_2_20170105174847679.jpg.chip.jpg,100,1,2,60-100
9,C:\Users\henok\data\data\UTKFace\100_1_2_20170112213615815.jpg.chip.jpg,100_1_2_20170112213615815.jpg.chip.jpg,100,1,2,60-100
10,C:\Users\henok\data\data\UTKFace\100_1_2_20170112222336458.jpg.chip.jpg,100_1_2_20170112222336458.jpg.chip.jpg,100,1,2,60-100
11,C:\Users\henok\data\data\UTKFace\101_0_0_20170112213500903.jpg.chip.jpg,101_0_0_20170112213500903.jpg.chip.jpg,101,0,0,60-100
12,C:\Users\henok\data\data\UTKFace\101_1_2_20170105174739309.jpg.chip.jpg,101_1_2_20170105174739309.jpg.chip.jpg,101,1,2,60-100
13,C:\Users\henok\data\data\UTKFace\103_0_2_20170112213001988.jpg.chip.jpg,103_0_2_20170112213001988.jpg.chip.jpg,103,0,2,60-100
14,C:\Users\henok\data\data\UTKFace\105_0_0_20170112213001988.jpg.chip.jpg,105_0_0_20170112213001988.jpg.chip.jpg,105,0,0,60-100
15,C:\Users\henok\data\data\UTKFace\105_1_0_20170112213001988.jpg.chip.jpg,105_1_0_20170112213001988.jpg.chip.jpg,105,1,0,60-100
16,C:\Users\henok\data\data\UTKFace\105_1_0_20170112213021902.jpg.chip.jpg,105_1_0_20170112213021902.jpg.chip.jpg,105,1,0,60-100
17,C:\Users\henok\data\data\UTKFace\105_1_0_20170112213507183.jpg.chip.jpg,105_1_0_20170112213507183.jpg.chip.jpg,105,1,0,60-100
18,C:\Users\henok\data\data\UTKFace\105_1_1_20170112213303693.jpg.chip.jpg,105_1_1_20170112213303693.jpg.chip.jpg,105,1,1,60-100
19,C:\Users\henok\data\data\UTKFace\10_0_0_20161220222308131.jpg.chip.jpg,10_0_0_20161220222308131.jpg.chip.jpg,10,0,0,08-Dec
20,C:\Users\henok\data\data\UTKFace\10_0_0_20170103200329407.jpg.chip.jpg,10_0_0_20170103200329407.jpg.chip.jpg,10,0,0,08-Dec
21,C:\Users\henok\data\data\UTKFace\10_0_0_20170103200522151.jpg.chip.jpg,10_0_0_20170103200522151.jpg.chip.jpg,10,0,0,08-Dec
22,C:\Users\henok\data\data\UTKFace\10_0_0_20170103233459275.jpg.chip.jpg,10_0_0_20170103233459275.jpg.chip.jpg,10,0,0,08-Dec
23,C:\Users\henok\data\data\UTKFace\10_0_0_20170104013211746.jpg.chip.jpg,10_0_0_20170104013211746.jpg.chip.jpg,10,0,0,08-Dec
24,C:\Users\henok\data\data\UTKFace\10_0_0_20170110215927291.jpg.chip.jpg,10_0_0_20170110215927291.jpg.chip.jpg,10,0,0,08-Dec
25,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220033115.jpg.chip.jpg,10_0_0_20170110220033115.jpg.chip.jpg,10,0,0,08-Dec
26,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220111082.jpg.chip.jpg,10_0_0_20170110220111082.jpg.chip.jpg,10,0,0,08-Dec
27,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220235233.jpg.chip.jpg,10_0_0_20170110220235233.jpg.chip.jpg,10,0,0,08-Dec
28,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220251986.jpg.chip.jpg,10_0_0_20170110220251986.jpg.chip.jpg,10,0,0,08-Dec
29,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220255346.jpg.chip.jpg,10_0_0_20170110220255346.jpg.chip.jpg,10,0,0,08-Dec
30,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220316298.jpg.chip.jpg,10_0_0_20170110220316298.jpg.chip.jpg,10,0,0,08-Dec
31,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220403810.jpg.chip.jpg,10_0_0_20170110220403810.jpg.chip.jpg,10,0,0,08-Dec
32,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220447314.jpg.chip.jpg,10_0_0_20170110220447314.jpg.chip.jpg,10,0,0,08-Dec
33,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220503946.jpg.chip.jpg,10_0_0_20170110220503946.jpg.chip.jpg,10,0,0,08-Dec
34,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220514186.jpg.chip.jpg,10_0_0_20170110220514186.jpg.chip.jpg,10,0,0,08-Dec
35,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220530650.jpg.chip.jpg,10_0_0_20170110220530650.jpg.chip.jpg,10,0,0,08-Dec
36,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220539329.jpg.chip.jpg,10_0_0_20170110220539329.jpg.chip.jpg,10,0,0,08-Dec
37,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220541850.jpg.chip.jpg,10_0_0_20170110220541850.jpg.chip.jpg,10,0,0,08-Dec
38,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220546177.jpg.chip.jpg,10_0_0_20170110220546177.jpg.chip.jpg,10,0,0,08-Dec
39,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220548521.jpg.chip.jpg,10_0_0_20170110220548521.jpg.chip.jpg,10,0,0,08-Dec
40,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220557169.jpg.chip.jpg,10_0_0_20170110220557169.jpg.chip.jpg,10,0,0,08-Dec
41,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220644705.jpg.chip.jpg,10_0_0_20170110220644705.jpg.chip.jpg,10,0,0,08-Dec
42,C:\Users\henok\data\data\UTKFace\10_0_0_20170110220654150.jpg.chip.jpg,10_0_0_20170110220654150.jpg.chip.jpg,10,0,0,08-Dec
43,C:\Users\henok\data\data\UTKFace\10_0_0_20170110221714752.jpg.chip.jpg,10_0_0_20170110221714752.jpg.chip.jpg,10,0,0,08-Dec
44,C:\Users\henok\data\data\UTKFace\10_0_0_20170110221719390.jpg.chip.jpg,10_0_0_20170110221719390.jpg.chip.jpg,10,0,0,08-Dec
45,C:\Users\henok\data\data\UTKFace\10_0_0_20170110221811823.jpg.chip.jpg,10_0_0_20170110221811823.jpg.chip.jpg,10,0,0,08-Dec
46,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224223937.jpg.chip.jpg,10_0_0_20170110224223937.jpg.chip.jpg,10,0,0,08-Dec
47,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224238891.jpg.chip.jpg,10_0_0_20170110224238891.jpg.chip.jpg,10,0,0,08-Dec
48,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224253445.jpg.chip.jpg,10_0_0_20170110224253445.jpg.chip.jpg,10,0,0,08-Dec
49,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224255796.jpg.chip.jpg,10_0_0_20170110224255796.jpg.chip.jpg,10,0,0,08-Dec
